location_name,country,latitude,longitude,timestamp,temperature,humidity,wind_speed,pressure,precipitation,sensor_id
Accra,Ghana,5.55,-0.22,2024-08-18 12:00:00,28.2,70,15.1,1016.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-19 12:30:00,28.3,70,19.1,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-20 12:15:00,27.3,74,33.1,1014.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-21 12:15:00,28.4,74,24.1,1015.0,0.03,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-22 12:00:00,28.3,70,20.2,1015.0,0.07,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-23 12:15:00,25.1,89,31.0,1013.0,0.2,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-24 12:00:00,27.0,79,20.2,1015.0,0.03,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-25 12:00:00,27.1,79,13.0,1016.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-26 12:15:00,27.3,79,24.1,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-27 12:15:00,28.2,74,37.1,1012.0,0.19,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-28 12:30:00,27.3,79,28.1,1015.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-29 12:00:00,28.1,66,15.1,1016.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-30 12:15:00,27.2,74,31.0,1013.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-31 12:00:00,27.1,74,29.9,1014.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-01 12:00:00,29.1,66,22.0,1015.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-02 12:15:00,28.4,70,22.0,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-03 12:15:00,27.4,70,22.0,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-04 12:00:00,28.3,70,24.1,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-05 12:00:00,29.1,62,24.1,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-06 12:15:00,29.0,66,24.1,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-07 12:00:00,29.3,62,16.9,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-08 12:15:00,26.3,72,22.3,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-09 12:30:00,30.3,62,22.0,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-10 12:30:00,30.4,62,22.0,1013.0,0.22,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-11 12:00:00,27.1,79,24.1,1014.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-12 12:15:00,29.2,75,24.1,1014.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-13 12:30:00,28.1,74,22.7,1014.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-14 12:30:00,28.2,74,10.8,1015.0,0.29,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-15 12:00:00,29.3,66,25.6,1015.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-16 11:00:00,28.1,70,15.8,1016.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-17 11:00:00,29.1,70,18.7,1015.0,0.14,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-18 10:45:00,27.1,79,14.4,1015.0,0.01,Accra_Ghana
